GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US06037,06037,"Los Angeles County, California",1400000US06037108103,06037108103,Los Angeles County - Census Tract 1081.03,Census Tract 1081.03,3256,1075,0.99,0.00,0.99,3289.2,1085.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037108104,06037108104,Los Angeles County - Census Tract 1081.04,Census Tract 1081.04,1698,587,0.32,0.00,0.32,5324.1,1840.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037108201,06037108201,Los Angeles County - Census Tract 1082.01,Census Tract 1082.01,5551,1900,1.08,0.00,1.08,5125.3,1754.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037108202,06037108202,Los Angeles County - Census Tract 1082.02,Census Tract 1082.02,4895,1972,2.32,0.00,2.32,2114.1,851.7
0500000US06037,06037,"Los Angeles County, California",1400000US06037109100,06037109100,Los Angeles County - Census Tract 1091,Census Tract 1091,2492,775,1.05,0.00,1.05,2383.8,741.4
0500000US06037,06037,"Los Angeles County, California",1400000US06037109200,06037109200,Los Angeles County - Census Tract 1092,Census Tract 1092,2669,899,0.46,0.00,0.46,5793.9,1951.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037109300,06037109300,Los Angeles County - Census Tract 1093,Census Tract 1093,3085,898,0.48,0.00,0.48,6479.8,1886.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037109400,06037109400,Los Angeles County - Census Tract 1094,Census Tract 1094,3720,1068,0.50,0.00,0.50,7459.4,2141.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037109500,06037109500,Los Angeles County - Census Tract 1095,Census Tract 1095,4303,1054,0.46,0.00,0.46,9336.2,2286.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037109601,06037109601,Los Angeles County - Census Tract 1096.01,Census Tract 1096.01,5020,1323,0.87,0.01,0.86,5871.0,1547.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037109603,06037109603,Los Angeles County - Census Tract 1096.03,Census Tract 1096.03,4252,1316,0.39,0.00,0.39,11024.9,3412.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037109604,06037109604,Los Angeles County - Census Tract 1096.04,Census Tract 1096.04,2975,920,0.45,0.00,0.45,6558.3,2028.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037109700,06037109700,Los Angeles County - Census Tract 1097,Census Tract 1097,4493,1400,0.61,0.00,0.61,7333.2,2285.0
0500000US06037,06037,"Los Angeles County, California",1400000US06037109800,06037109800,Los Angeles County - Census Tract 1098,Census Tract 1098,4565,1460,0.54,0.00,0.54,8448.8,2702.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037111100,06037111100,Los Angeles County - Census Tract 1111,Census Tract 1111,2982,942,0.41,0.00,0.41,7291.4,2303.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037111201,06037111201,Los Angeles County - Census Tract 1112.01,Census Tract 1112.01,3410,1130,0.74,0.00,0.74,4617.2,1530.0
0500000US06037,06037,"Los Angeles County, California",1400000US06037111202,06037111202,Los Angeles County - Census Tract 1112.02,Census Tract 1112.02,5213,1938,0.72,0.00,0.72,7232.9,2688.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037111204,06037111204,Los Angeles County - Census Tract 1112.04,Census Tract 1112.04,5859,1955,1.28,0.01,1.27,4605.8,1536.8
0500000US06037,06037,"Los Angeles County, California",1400000US06037111205,06037111205,Los Angeles County - Census Tract 1112.05,Census Tract 1112.05,3375,1298,0.45,0.01,0.44,7658.9,2945.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037111206,06037111206,Los Angeles County - Census Tract 1112.06,Census Tract 1112.06,4490,1538,1.01,0.00,1.01,4453.5,1525.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037111301,06037111301,Los Angeles County - Census Tract 1113.01,Census Tract 1113.01,7087,2778,0.77,0.00,0.77,9171.5,3595.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037111302,06037111302,Los Angeles County - Census Tract 1113.02,Census Tract 1113.02,4786,1915,0.60,0.00,0.60,7982.8,3194.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037111400,06037111400,Los Angeles County - Census Tract 1114,Census Tract 1114,7560,2847,0.70,0.00,0.70,10805.7,4069.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037113101,06037113101,Los Angeles County - Census Tract 1131.01,Census Tract 1131.01,3558,1140,0.87,0.00,0.87,4073.4,1305.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037113102,06037113102,Los Angeles County - Census Tract 1131.02,Census Tract 1131.02,2828,967,1.42,0.01,1.41,2002.9,684.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037113211,06037113211,Los Angeles County - Census Tract 1132.11,Census Tract 1132.11,3787,1613,2.81,0.00,2.81,1347.4,573.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037113212,06037113212,Los Angeles County - Census Tract 1132.12,Census Tract 1132.12,3069,1082,0.39,0.00,0.39,7950.1,2802.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037113213,06037113213,Los Angeles County - Census Tract 1132.13,Census Tract 1132.13,4316,1660,0.50,0.00,0.50,8593.2,3305.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037113231,06037113231,Los Angeles County - Census Tract 1132.31,Census Tract 1132.31,2125,810,1.60,0.01,1.59,1334.8,508.8
0500000US06037,06037,"Los Angeles County, California",1400000US06037113232,06037113232,Los Angeles County - Census Tract 1132.32,Census Tract 1132.32,3894,1388,0.80,0.00,0.80,4882.0,1740.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037113233,06037113233,Los Angeles County - Census Tract 1132.33,Census Tract 1132.33,6655,2448,0.44,0.00,0.44,15067.6,5542.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037113234,06037113234,Los Angeles County - Census Tract 1132.34,Census Tract 1132.34,4667,1585,0.39,0.00,0.39,11932.3,4052.4
0500000US06037,06037,"Los Angeles County, California",1400000US06037113235,06037113235,Los Angeles County - Census Tract 1132.35,Census Tract 1132.35,1602,766,0.55,0.00,0.55,2893.5,1383.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037113237,06037113237,Los Angeles County - Census Tract 1132.37,Census Tract 1132.37,3661,1496,1.83,0.00,1.83,2002.0,818.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037113301,06037113301,Los Angeles County - Census Tract 1133.01,Census Tract 1133.01,2201,982,0.88,0.00,0.88,2511.7,1120.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037113303,06037113303,Los Angeles County - Census Tract 1133.03,Census Tract 1133.03,4006,1398,1.58,0.00,1.57,2547.0,888.8
0500000US06037,06037,"Los Angeles County, California",1400000US06037113321,06037113321,Los Angeles County - Census Tract 1133.21,Census Tract 1133.21,5473,2406,0.40,0.00,0.40,13521.4,5944.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037113322,06037113322,Los Angeles County - Census Tract 1133.22,Census Tract 1133.22,3947,1370,0.69,0.00,0.69,5722.2,1986.2
0500000US06037,06037,"Los Angeles County, California",1400000US06037113401,06037113401,Los Angeles County - Census Tract 1134.01,Census Tract 1134.01,5543,1777,0.95,0.00,0.95,5855.4,1877.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037113421,06037113421,Los Angeles County - Census Tract 1134.21,Census Tract 1134.21,6109,2064,0.85,0.00,0.85,7202.4,2433.4
